"CDSTATIONM","LBSTATIONM","COORDXSTAT","COORDYSTAT","CODEDEPART","LBDEPARTEM","lat","lon","elevation"
3002315,"LA PLANCHOTTE A JOURS-LES-BAIGNEUX 1",819962,6726869,21,"COTE-D'OR",47.6312823118788,4.59750608735391,355.37
3002900,"LA LAIGNES A BALNOT-SUR-LAIGNES 1",802477,6771111,10,"AUBE",48.0323521151074,4.37497110517242,166.74
3003790,"L'ARCE A MERREY-SUR-ARCE 1",803411,6778418,10,"AUBE",48.0979486655582,4.38922505064737,155.99
3004280,"LA SARCE A JULLY-SUR-SARCE 3",797486,6779404,10,"AUBE",48.1077310801668,4.30986325605142,155.71
3004349,"LA SEINE A CLEREY 1",788158,6789959,10,"AUBE",48.2040219302289,4.18667931256027,121.73
3004985,"LA NOUE ROBERT A BARBEREY-SAINT-SULPICE 2",776881,6804703,10,"AUBE",48.3380963837206,4.03750785617125,97.08
3005200,"LA SEINE A SAINT-LYE 1",774637,6807252,10,"AUBE",48.3612891340742,4.0076673980041,94.34
3006000,"LA SEINE A MERY-SUR-SEINE 1",765726,6823385,10,"AUBE",48.5073803796461,3.8898260304923,80.61
3006268,"L'OURCE A MENESBLE 1",842405,6742438,21,"COTE-D'OR",47.7669049517642,4.90125928375309,313.19
3006271,"LA GRO4ME A TERREFONDREE 1",839771,6738161,21,"COTE-D'OR",47.7289862624645,4.86475750070052,329.75
3006354,"LE RUISSEAU DE VILLARNON A MONTMOYEN 1",834255.86,6737540.03,0,NA,47.7245476731652,4.79101502846458,335.53
3006590,"L'OURCE A AUTRICOURT 1",820426,6767715,21,"COTE-D'OR",47.9987391675934,4.61480548418029,194.4
3007000,"L'OURCE A CELLES-SUR-OURCE 1",804942,6776172,10,"AUBE",48.077496869827,4.40924975322731,158.02
3007383,"L'HOZAIN A RUMILLY-LES-VAUDES 1",790789,6781262,10,"AUBE",48.1254134474447,4.22028014708851,139.3
3008267,"LA BARSE A CHAMP-SUR-BARSE 1",804822,6793782,10,"AUBE",48.2359488230379,4.41186653522745,137.41
3008505,"LA BARSE A MONTREUIL-SUR-BARSE 1",796324,6792656,10,"AUBE",48.2271304569068,4.29717780963804,118.35
3008833,"LA CIVANNE A LUSIGNY-SUR-BARSE 1",793119,6793918,10,"AUBE",48.2389499699958,4.25429397970135,125.9
3010670,"LE MELDA A SAINT-BENOIT-SUR-SEINE 1",775668,6807627,10,"AUBE",48.3645434892884,4.02165079479719,93
3011300,"LA SEINE A CONFLANS-SUR-SEINE 1",750249,6827851,51,"MARNE",48.5489379588995,3.68082522051797,66
3011620,"LA NOXE A BARBUISE 1",742813,6827898,10,"AUBE",48.5498948043394,3.58008324933397,63.87
3011840,"L'ARDUSSON A FERREUX-QUINCEY 2",743475,6818591,10,"AUBE",48.4661285856771,3.58811331402829,76.97
3012100,"LA SEINE A COURCEROY 1",730766,6818774,10,"AUBE",48.4685019363319,3.4162076716529,57
3013212,"LE DURTEINT A ROUILLY 1",720824,6831336,77,"SEINE-ET-MARNE",48.5819008870584,3.28231962239935,94.53
3013300,"LA VOULZIE A JUTIGNY 1",717401,6820778,77,"SEINE-ET-MARNE",48.487026076471,3.23548601562712,63.24
3013345,"LE RUISSEAU DES MHANCES A CHALMAISON 1",717637,6820621,77,"SEINE-ET-MARNE",48.4856073344316,3.23867333898074,60.4
3013660,"L'AUXENCE A VIMPELLES 2",712823,6815641,77,"SEINE-ET-MARNE",48.4409195300986,3.17337998492732,51.75
3013677,"L'AUXENCE A THENISY 1",713356,6820203,77,"SEINE-ET-MARNE",48.4819492826713,3.18072784005221,67.38
3013930,"LE RU DE L' TANG A SAINT-GERMAIN-LAVAL 1",699465,6811040,77,"SEINE-ET-MARNE",48.3996531927572,2.99277193957143,51.44
3014000,"LA SEINE A MONTEREAU-FAULT-YONNE 1",697015,6809837,77,"SEINE-ET-MARNE",48.3888235865114,2.95967977851112,45.61
3014130,"L'AUBE A AUBERIVE 3",855790,6743970,52,"HAUTE-MARNE",47.777652065949,5.08042302499832,353.46
3014550,"L'AUBE A DANCEVOIR 1",839932,6759797,52,"HAUTE-MARNE",47.9236224188929,4.87375313902769,252.19
3015000,"L'AUBE A VILLE-SOUS-LA-FERTE 1",833530,6784150,10,"AUBE",48.1440521115773,4.79547120646613,187
3016310,"L'AUBE A AILLEVILLE 1",824558,6795749,10,"AUBE",48.2501694594163,4.67818361076152,157.41
3016840,"LE LANDION A ARGANCON 2",819110,6795752,10,"AUBE",48.2512153915367,4.6048036025435,163.23
3017000,"L'AUBE A DOLANCOURT 1",820142,6798053,10,"AUBE",48.2717248300795,4.61933985014069,145.6
3017900,"L'AUBE A EPAGNE 1",808181,6811167,10,"AUBE",48.3917891585461,4.46143273307846,116.34
3018342,"LE MELDAN",800045,6822951,10,"AUBE",48.4990896380867,4.35427472808769,99.99
3018675,"L'AUZON A COCLOIS 1",799264,6819253,10,"AUBE",48.4659471208309,4.34285342264477,102.62
3018951,"L'AUBE A VINETS 1",791134,6826283,10,"AUBE",48.5303735879451,4.23437521761154,91.76
3019795,"L'HERBISSONNE A CHAMPIGNY-SUR-AUBE 1",779090,6829231,10,"AUBE",48.5584718801999,4.07180734465206,83.88
3020000,"L'AUBE A VIAPRES-LE-PETIT 1",775683,6829783,10,"AUBE",48.5638439930884,4.02573903553798,81.62
3020145,"LA BARBUISE A POUAN-LES-VALLEES 1",778534,6826809,10,"AUBE",48.5367542221702,4.06383131505229,86.42
3020650,"LA SUPERBE A MARIGNY 1",764079,6842527,51,"MARNE",48.6797216479461,3.87038654668211,87
3021000,"L'AUBE A BAUDEMENT 1",757355,6830615,51,"MARNE",48.5732101536684,3.77746751272266,72.23
3021917,"LA RENNE A RENNEPONT 1",839890,6786869,52,"HAUTE-MARNE",48.1671791086875,4.88182855355378,206.36
3022000,"L'AUJON A LONGCHAMP-SUR-AUJON 1",834197,6785239,10,"AUBE",48.1537118258937,4.80477132877044,186.99
3022260,"LA VOIRE A DROYES 1",827497,6823363,52,"HAUTE-MARNE",48.4979789143942,4.72589928311401,119.17
3022445,"LA HeRONNE A DROYES 1",829069,6826215,52,"HAUTE-MARNE",48.5233177962524,4.74802671922373,122.08
3022465,"LA H RONNE A DROYES 2",825316,6824624,52,"HAUTE-MARNE",48.5097452513945,4.69675146522147,118.27
3022505,"LA VOIRE A PUELLEMONTIER 2",825835,6822991,52,"HAUTE-MARNE",48.4949578406681,4.70329956598501,118.54
3022633,"LE COURS D'EAU NUMIRO 01 DE LA C.TELLE A LOUZE 1",827511,6816223,52,"HAUTE-MARNE",48.4337589334595,4.72397886714747,124.19
3022718,"LE RUISSEAU DE CHAVANGES A LENTILLES 1",818681,6821588,10,"AUBE",48.4836877775062,4.60610448485256,115.2
3023000,"LA VOIRE A LASSICOURT 1",810274,6817520,10,"AUBE",48.4485817201084,4.49132143109208,109.15
3024245,"L'YONNE A CHATEAU-CHINON(CAMPAGNE) 3",773605,6659171,58,"NIEVRE",47.0287064081309,3.96919831161875,439.22
3024285,"LE TOURON A ARLEUF 1",774585,6664217,58,"NIEVRE",47.0740242213773,3.98292824711814,458.39
